date,company,price
2019-08-07,PINS,32.099998474121094
2019-08-07,SNAP,15.90999984741211
2019-08-07,ETSY,56.060001373291016
2019-08-08,FB,190.16000366210935
2019-08-08,TWTR,42.06999969482422
2019-08-08,PINS,33.38999938964844
2019-08-08,SNAP,16.760000228881836
2019-08-08,ETSY,58.040000915527344
2019-08-09,FB,187.8500061035156
2019-08-09,TWTR,41.52999877929688
2019-08-09,PINS,33.43000030517578
2019-08-09,SNAP,16.979999542236328
2019-08-09,ETSY,56.43000030517578
2019-08-12,FB,185.3699951171875
2019-08-12,TWTR,40.47999954223633
2019-08-12,PINS,33.619998931884766
2019-08-12,SNAP,16.809999465942383
2019-08-12,ETSY,54.970001220703125
2019-08-13,FB,188.4499969482422
2019-08-13,TWTR,41.810001373291016
2019-08-13,PINS,34.41999816894531
2019-08-13,SNAP,17.0
2019-08-13,ETSY,55.7400016784668
2019-08-14,FB,179.7100067138672
2019-08-14,TWTR,40.650001525878906
2019-08-14,PINS,32.22999954223633
2019-08-14,SNAP,16.360000610351562
2019-08-14,ETSY,52.84000015258789
2019-08-15,FB,182.58999633789065
2019-08-15,TWTR,40.09000015258789
2019-08-15,PINS,32.0099983215332
2019-08-15,SNAP,15.989999771118164
2019-08-15,ETSY,51.709999084472656
2019-08-16,FB,183.6999969482422
2019-08-16,TWTR,40.58000183105469
2019-08-16,PINS,32.220001220703125
2019-08-16,SNAP,15.979999542236328
2019-08-16,ETSY,52.61000061035156
2019-08-19,FB,186.1699981689453
2019-08-19,TWTR,41.70000076293945
2019-08-19,PINS,33.33000183105469
2019-08-19,SNAP,16.15999984741211
2019-08-19,ETSY,52.40999984741211
2019-08-20,FB,183.80999755859372
2019-08-20,TWTR,42.290000915527344
2019-08-20,PINS,34.36000061035156
2019-08-20,SNAP,16.079999923706055
2019-08-20,ETSY,52.88999938964844
2019-08-21,FB,183.5500030517578
2019-08-21,TWTR,42.79999923706055
2019-08-21,PINS,36.560001373291016
2019-08-21,SNAP,16.139999389648438
2019-08-21,ETSY,54.25
2019-08-22,FB,182.0399932861328
2019-08-22,TWTR,42.18000030517578
2019-08-22,PINS,35.43000030517578
2019-08-22,SNAP,16.079999923706055
2019-08-22,ETSY,55.400001525878906
2019-08-23,FB,177.75
2019-08-23,TWTR,41.0
2019-08-23,PINS,34.5
2019-08-23,SNAP,15.550000190734863
2019-08-23,ETSY,54.09000015258789
2019-08-26,FB,180.3600006103516
2019-08-26,TWTR,41.43999862670898
2019-08-26,PINS,35.380001068115234
2019-08-26,SNAP,16.110000610351562
2019-08-26,ETSY,53.58000183105469
2019-08-27,FB,181.3000030517578
2019-08-27,TWTR,42.13999938964844
2019-08-27,PINS,33.86000061035156
2019-08-27,SNAP,15.510000228881836
2019-08-27,ETSY,53.40999984741211
2019-08-28,FB,181.75999450683597
2019-08-28,TWTR,41.68000030517578
2019-08-28,PINS,33.91999816894531
2019-08-28,SNAP,15.550000190734863
2019-08-28,ETSY,54.34000015258789
2019-08-29,FB,185.57000732421875
2019-08-29,TWTR,42.4900016784668
2019-08-29,PINS,34.7599983215332
2019-08-29,SNAP,15.779999732971191
2019-08-29,ETSY,54.400001525878906
2019-08-30,FB,185.6699981689453
2019-08-30,TWTR,42.650001525878906
2019-08-30,PINS,34.41999816894531
2019-08-30,SNAP,15.829999923706056
2019-08-30,ETSY,52.790000915527344
2019-09-03,FB,182.38999938964844
2019-09-03,TWTR,41.959999084472656
2019-09-03,PINS,33.810001373291016
2019-09-03,SNAP,15.93000030517578
2019-09-03,ETSY,50.29999923706055
2019-09-04,FB,187.13999938964844
2019-09-04,TWTR,43.36000061035156
2019-09-04,PINS,32.619998931884766
2019-09-04,SNAP,15.800000190734863
2019-09-04,ETSY,50.150001525878906
2019-09-05,FB,190.8999938964844
